Year,WAP_Ext,WAP_Area,WAP_OW,Pori_Ext,Pori_Area,Pori_OW,Pdsr_Ext,Pdsr_Area,Pdsr_OW,Pnew_Ext,Pnew_Area,Pnew_OW
1979,366912.72,265044.53,101868.2,132357.94,95881.22,36476.72,106032.94,81079.59,24953.36,168239.84,135901.92,32337.91
1980,460207.66,335880.72,124326.93,146885.23,109159.59,37725.62,112389.65,86721.91,25667.73,175266.7,142352.62,32914.08
1981,339187.62,234028.19,105159.43,128420.85,89601.37,38819.5,100584.46,73672.49,26911.97,160680.5,124651.4,36029.12
1982,350539.12,240490.17,110048.97,114700,78345.41,36354.58,89430.59,64917.7,24512.89,146688.42,113355,33333.41
1983,241713.48,155224.73,86488.74,74066.45,40047.02,34019.42,62870.61,34919.93,27950.67,115242.06,75123.85,40118.19
1984,269618.72,180220.88,89397.88,82076.36,53565.92,28510.45,68146.48,45704.95,22441.53,116874.03,85458.88,31415.16
1985,242282.39,164049.39,78232.98,74938.16,47150.33,27787.84,63822.82,41131.17,22691.66,113227.79,81253.84,31973.95
1986,425503.28,301296.66,124206.69,122947.22,89113.41,33833.81,90030.49,69606.65,20423.84,145584.28,117188.06,28396.2
1987,403984.5,289273.12,114711.31,129518.7,93961.9,35556.81,99632.19,75440.85,24191.33,160963.02,129745.54,31217.48
1988,256358.86,170181.08,86177.77,81074.41,49596.75,31477.66,63266.04,41270.44,21995.59,114845.09,81952.44,32892.65
1989,147769.97,94160.8,53609.17,35243.2,17573.73,17669.46,31404.79,15360.52,16044.27,68665.51,41171.38,27494.13
1990,285911.94,190722.64,95189.28,84244.43,57218.41,27026.02,68127.71,48150.75,19976.97,111366.28,84111.3,27254.97
1991,352204.34,243999.36,108204.95,104094.71,76095.41,27999.29,80944.96,62979.15,17965.81,123559,100888.3,22670.69
1992,305966.34,204662.27,101304.1,104279.24,67205.18,37074.08,82721.88,55322.5,27399.39,138278.27,100147.41,38130.86
1993,278396.22,186348.88,92047.34,93329.05,58733.72,34595.33,78055.52,51414.36,26641.16,126987.16,92039.71,34947.46
1994,331344.44,224949.88,106394.57,100652.6,69728.98,30923.63,77017.16,57300.8,19716.36,125910.66,98827.99,27082.67
1995,343714.22,247257.42,96456.84,94145.4,70829.65,23315.75,72966.73,55262.05,17704.68,121592.54,94837.16,26755.37
1996,268404.44,185004.19,83400.26,80612.66,52814.39,27798.27,69315.12,46421.98,22893.13,117947.38,87208.9,30738.49
1997,317893.06,214155.98,103737.07,96598.32,64420.9,32177.42,77396.02,54321.39,23074.64,123234.56,92184.12,31050.44
1998,211052.39,129786.81,81265.59,72051.26,37776.65,34274.61,56966.11,30123.95,26842.15,102169.47,61797.33,40372.14
1999,246552.58,167717.56,78835.02,77972.52,51971.15,26001.37,63938.1,45096.04,18842.06,99988.25,75103.88,24884.36
2000,256058.89,171009.11,85049.81,74287.41,46983.73,27303.69,61718.25,40590.15,21128.1,107138.4,76604.84,30533.56
2001,229946.62,156173.53,73773.06,67177.42,44991.81,22185.6,56913.3,40178.68,16734.61,96801.55,72177.66,24623.89
2002,360588.59,241644.44,118944.15,105466.23,72432.89,33033.35,87834.91,63105.97,24728.95,137178.92,105090.49,32088.44
2003,263738.06,170916,92822.04,80407.88,49976.94,30430.95,68605.6,43262.82,25342.78,114892.74,82899.96,31992.79
2004,298994.03,215998.56,82995.48,93440.1,70517.31,22922.79,74556.34,59872.09,14684.25,118563.93,99009.12,19554.81
2005,324227.75,238729.94,85497.82,103673.78,74796.02,28877.76,85311.07,64087.53,21223.54,141748.36,111709.35,30038.99
2006,252904.55,170190.38,82714.2,78743.56,48300.63,30442.93,64640.32,41817.07,22823.25,114776.24,81387.58,33388.65
2007,209904.3,133000.31,76903.98,62087.43,34835.31,27252.12,45895.09,27179.24,18715.86,86663.7,56215.3,30448.39
2008,187110.81,108806.16,78304.66,51942.68,26680.96,25261.72,41610.8,22851.9,18758.91,71209.34,43571.14,27638.21
2009,271840.09,169629.45,102210.63,75270.07,47541.58,27728.49,59385.76,38818.45,20567.31,98486.06,69567.75,28918.31
2010,214175.3,130432.26,83743.03,57011.23,32914.54,24096.7,46338.43,27954.89,18383.54,82046.41,53553.35,28493.06
2011,295155.22,198830.98,96324.22,81682.64,57119.36,24563.29,59843.89,44981.86,14862.04,100293.57,78599.34,21694.22
2012,268473.72,179429.8,89043.9,82603.9,52766.95,29836.94,69119.37,44810.91,24308.46,115211.56,83302.05,31909.52
2013,314586.78,224307.56,90279.22,102856.1,77462.43,25393.68,81666.79,64376.99,17289.8,126964.69,104647.62,22317.05
2014,293381.66,195108.25,98273.4,93094.56,59799.5,33295.06,75663.52,50871.09,24792.43,128271.47,92192.78,36078.68
2015,359165.53,253392.25,105773.32,107576.07,80601.23,26974.84,83468.12,66490.15,16977.98,131672.33,107643.85,24028.48
2016,286347.34,164018.56,122328.78,101775.19,53117.36,48657.83,84970.82,46196.07,38774.77,137689.38,82499.02,55190.36
2017,248800.06,151094.11,97705.97,69382.02,41656.73,27725.29,58981.1,36478.15,22502.95,102587.24,68207.87,34379.37
2018,247329.58,157565.92,89763.68,75296.94,48898.72,26398.22,63779.24,42814.82,20964.42,108774.38,77565.03,31209.34